,0
2366,4
2367,7
2368,7
2369,8
2370,7
2371,3
2372,4
2373,9
2374,3
2375,8
2376,3
2377,10
2378,5
2379,9
2380,7
2381,4
2382,5
2383,5
2384,6
2385,3
2386,5
2387,5
2388,6
2389,3
2390,5
2391,7
2392,3
2393,5
2394,8
2395,4
2396,4
2397,5
2398,4
2399,6
2400,9
2401,4
2402,4
2403,3
2404,4
2405,6
2406,4
2407,4
2408,4
2409,4
2410,7
2411,5
2412,8
2413,5
2414,5
2415,5
2416,5
2417,6
2418,4
2419,4
2420,3
2421,5
2422,5
2423,5
2424,5
2425,6
2426,4
2427,3
2428,4
2429,4
2430,3
2431,4
2432,2
2433,3
2434,3
2435,6
2436,4
2437,5
2438,4
2439,6
2440,3
2441,4
2442,5
2443,4
2444,4
2445,3
2446,5
2447,5
2448,4
2449,5
2450,4
2451,5
2452,5
2453,5
2454,4
2455,3
2456,3
2457,4
2458,5
2459,5
2460,4
2461,5
2462,5
2463,5
2464,4
2465,3
2466,5
2467,5
2468,6
2469,6
2470,6
2471,4
2472,4
2473,5
2474,4
2475,5
2476,5
2477,4
2478,4
2479,6
2480,7
2481,4
2482,3
2483,4
2484,6
2485,4
2486,5
2487,4
2488,4
2489,5
2490,4
2491,4
2492,4
2493,6
2494,4
2495,3
2496,4
2497,4
2498,5
2499,4
2500,5
2501,5
2502,3
2503,4
2504,5
2505,4
2506,5
2507,4
2508,5
2509,7
2510,6
2511,5
2512,4
2513,3
2514,5
2515,4
2516,5
2517,7
2518,5
2519,4
2520,5
2521,4
2522,3
2523,3
2524,3
2525,6
2526,4
2527,5
2528,5
2529,4
2530,3
2531,5
2532,4
2533,4
2534,4
2535,6
2536,5
2537,6
2538,4
2539,4
2540,4
2541,5
2542,4
2543,4
2544,7
2545,4
2546,5
2547,5
2548,5
2549,3
2550,5
2551,5
2552,3
2553,5
2554,4
2555,4
2556,4
2557,6
2558,6
2559,4
2560,4
2561,4
2562,4
2563,3
2564,6
2565,6
2566,5
2567,4
2568,5
2569,5
2570,4
2571,7
2572,8
2573,5
2574,6
2575,5
2576,5
2577,6
2578,6
2579,7
2580,4
2581,4
2582,4
2583,5
2584,4
2585,3
2586,3
2587,4
2588,4
2589,6
2590,6
2591,4
2592,6
2593,3
2594,4
2595,5
2596,5
2597,5
2598,5
2599,5
2600,4
2601,5
2602,4
2603,5
